Iteration,Input Generate Time,Profile Generate Time,Task Generate Time,Task Implications Time,Sender Offer Generation Time,Receiver Offer Generation Time,Decision-making Time,Running Time,Total Rounds,Input,Mapping,Sender,A_yes_counts,B_yes_counts
1,0.1898677349090576,0.1279866695404052,0.202765941619873,0.2504701614379883,1.7653303,1.9258146,0.0942772,20.64458513259888,147,500,500,B,254,247
2,0.2002899646759033,0.1302478313446045,0.2376766204833984,0.2353758811950683,1.7876552,1.6864725,0.0688865,12.72101616859436,83,500,500,A,258,236
3,0.1907796859741211,0.1507754325866699,0.2001349925994873,0.2326207160949707,1.9409404,1.8193033,0.0800453,19.18718910217285,158,500,500,B,260,267
4,0.2201106548309326,0.1326582431793213,0.2210035324096679,0.2309327125549316,1.6380068,1.9048415,0.0679845,14.731486797332764,106,500,500,A,244,263
5,0.2682788372039795,0.137183666229248,0.2345836162567138,0.2360517978668213,2.0095626,1.929608,0.0725805,17.876463413238525,143,500,500,A,245,262
6,0.2355859279632568,0.1662356853485107,0.2674160003662109,0.3011844158172607,2.1097409,2.1310013,0.1118914,35.98824882507324,313,500,500,A,248,252
7,0.2175495624542236,0.1417913436889648,0.2358090877532959,0.2749435901641845,1.8323937,2.0470549,0.0778249,19.365373611450195,141,500,500,A,228,253
8,0.2001643180847168,0.1498479843139648,0.2164795398712158,0.282686710357666,2.1396197,2.049468,0.0879224,19.21766185760498,139,500,500,A,256,236
9,0.2157347202301025,0.1501970291137695,0.2333395481109619,0.3027946949005127,1.9671488,2.0062719,0.083071,22.53157925605774,182,500,500,B,247,248
10,0.2203752994537353,0.1470210552215576,0.2202916145324707,0.2660388946533203,2.008109,1.9221696,0.0910309,14.749577045440674,88,500,500,A,251,239
11,0.1999897956848144,0.1498856544494629,0.233210802078247,0.2835493087768554,1.8986629,1.9863922,0.0816986,18.899778842926025,140,500,500,A,237,252
12,0.1980917453765869,0.1503541469573974,0.2328622341156005,0.2669003009796142,1.9840019,2.1372068,0.0847856,15.485195636749268,97,500,500,B,255,246
13,0.2001199722290039,0.1331336498260498,0.2337665557861328,0.2840774059295654,2.2033436,2.0587372,0.1067726,10.638062000274658,36,500,500,A,254,260
14,0.2005538940429687,0.1493849754333496,0.2493231296539306,0.2661170959472656,1.8266275,2.0593604,0.0831398,17.67659020423889,127,500,500,B,261,231
15,0.2173948287963867,0.148726224899292,0.2343320846557617,0.2825825214385986,2.2830006,2.2767382,0.1123106,24.871007919311523,189,500,500,A,267,266
